2022-01-10 12:12:58,@GujaratPolice Good job sir,0,15,"Ahmadabad City, India",BarkatSheth,363
2022-01-10 12:12:59,"Why do we die?
To know install ⤵️
#Sant_Rampalji_Maharaj_App
Available On Playstore https://t.co/hR9sJsDmoA",0,22,"Orissa, India",UshaNai37212273,1000
2022-01-10 12:13:00,"Happy Birthday to Hima Das

One of India's finest track &amp; field athlete. @ GS Academy Defence Campus https://t.co/FoKkiBZ3Ej",0,42,"Dehradun, India",GlobalSdefence,330
2022-01-10 12:13:01,@SunielVShetty @sureshnmenon Happy Birthday..💐💐💐💐💐,0,472,"Bhopal, India",PariyaniKunal,12027
2022-01-10 12:13:03,All my best memories are from before we had social media.....,0,1564,"Guwahati, India",praticram,199760
2022-01-10 12:13:07,@Raskeqmr No no you're absolutely my favourite.,0,156,"Kolkata, India",alamnnu1,983
2022-01-10 12:13:07,Bas kya Hrithik sir maar hi Gaye hum apki is look say love you happy Birthday,0,334,"Mumbai, India",353839052d72499,5495
2022-01-10 12:13:08,@RahulGandhi All the best for election 👏,0,28,"Indore, India",KataraSourabh,81
2022-01-10 12:13:08,@timesofindia It is his Country s view.,0,92,"Sholinganallur, India",alwar2014,47429
2022-01-10 12:13:13,"""Thank goodness, I can always find something funny to keep me up.""",0,67,"New Delhi, India",deepanshireads,426
2022-01-10 12:13:13,@Shamsher_IPS @Vadcitypolice @GujaratPolice @dgpgujarat @sanghaviharsh @CMOGuj @PMOIndia @AmitShah @ourvadodara @VMCVadodara Good job sir,0,15,"Ahmadabad City, India",BarkatSheth,366
2022-01-10 12:13:18,Just posted a photo @ Srimushnam-ஸ்ரீமுஷ்ணம் https://t.co/6o7CKEjwia,0,0,"Srimushnam, India",Vigneshavmm,33
2022-01-10 12:13:20,Just posted a photo @ Akshayanagar https://t.co/kVEKG71zNC,0,0,"Bengaluru South, India",shahmehandi_art,99
2022-01-10 12:13:21,"Get Well Soon @rajnathsingh ji.
Prayers for your speedy recovery💐🙏🏻",0,255,"Ahmadabad City, India",deep_deepbhatt,7108
2022-01-10 12:13:21,Black ramen???,0,117,"Dhaka, Bangladesh",Dina818012842,19858
2022-01-10 12:13:22,Go pushpa go,0,28,"Gurgaon, India",Umangmishra23,1867
2022-01-10 12:13:23,@Garima1907 I miss u bhai ☕☕,0,8633,"Rampur, India",MukeshPathakji,35236
2022-01-10 12:13:23,@SPBhavnagar @CMOGuj @SanghviHarsh @Harsh_Office @dgpgujarat @GujaratPolice Good job sir,0,15,"Ahmadabad City, India",BarkatSheth,367
2022-01-10 12:13:26,"@Prafull_mbachai @mbachaiwalaind Sorry...
I love beer! https://t.co/7KTnXtWdET",0,41,"Indore, India",_____rohitsingh,12914
2022-01-10 12:13:29,"@dhondhoOni Ok. I'm never good at these, but i can try.",0,2204,"Kanayannur, India",psyphs,52128
2022-01-10 12:13:29,that sudden urge to stop pretending to fit in with the people around you :/,0,27,"Faridabad, India",dishantsethi17,45
2022-01-10 12:13:30,@rajnathsingh Get well soon @rajnathsingh,0,92,"New Delhi, India",Hashira30369032,1016
2022-01-10 12:13:31,@NiftyGranmaster Thanks Sumijit ji..taken calculated risk in this bull.,0,38,"Mumbai, India",swachh_bharat1,422
2022-01-10 12:13:32,Just posted a photo @ Annapurna Base Camp (ABC) https://t.co/VnX0cXWr65,0,1573,Nepal,nepalplanettrek,77440
2022-01-10 12:13:32,People look way hotter in mask!,0,1345,"Chandigarh, India",PrachiKochhar7,1803
2022-01-10 12:13:33,"""Mercy me! I don't know anything about love, and such nonsense!""",0,67,"New Delhi, India",deepanshireads,427
2022-01-10 12:13:33,@SP_EastKutch @dgpgujarat @GujaratPolice Good job sir,0,15,"Ahmadabad City, India",BarkatSheth,369
2022-01-10 12:13:35,Much Wow @BabyDogeCoin Takes Over #BNB And #Ethereum Most Traded Token In Past 24 Hours #BabyDogeCoin #ToTheMoon  🚀🌝 https://t.co/KQuga8opfX,0,236,"Punjab, Pakistan",MohSinChaudhry0,234
2022-01-10 12:13:35,@vv_9530 You all are the best,0,0,"Punjab, Pakistan",MuskanG71897549,24
2022-01-10 12:13:37,@archillect *Flashing back to an old Mr. Bean reference*.....,0,18,"Agra, India",pokhriyal_aryan,599
2022-01-10 12:13:39,"This year Shreyansh started going to school.... 😍😍🥰🥰
Ab Ghar me Shanti-Shanti hai.... 😀😅 https://t.co/F0stRAFmK8",0,1964,"Patna, India",Bhart09,15160
2022-01-10 12:13:40,@SwiggyCares Deactivate  please .,0,15,"Haveli, India",Sushant_Auti,30
2022-01-10 12:13:40,Just posted a photo @ Malam Jabba Swat https://t.co/92zrfxFgH0,0,68,"North-west Frontier, Pakistan",xhahidrajpoot64,329
2022-01-10 12:13:44,"Maggi in the mountains anyone? 🍝

#minimalmusafir @ Lansdowne, Uttarakhand, India https://t.co/SfT3bIzFk3",0,1,"Lansdowne, India",minimalmusafir,166
2022-01-10 12:13:45,"E Roju Birthday Wishes Chapena Fans ki , Friend ki, Prathiokareki Thank You Thank You To All 🙏 🙏🙏 https://t.co/KVMM4WESa5",0,1221,"Bardes, India",AKBadri6848,27844
2022-01-10 12:13:45,@rajatsingh2017 Right,0,41,"Uttar Pradesh, India",Rajendr22686213,174
2022-01-10 12:13:48,@Vadcitypolice @sanghaviharsh @Shamsher_IPS @ashishbhatiaips @pkumarias Good job sir,0,15,"Ahmadabad City, India",BarkatSheth,372
2022-01-10 12:13:52,Thanks @reliancejio for this speed upgrade in hilly terrain 🙏🙏 https://t.co/WAHIWFBagE,0,46,"Himachal Pradesh, India",rupeesingh59,209
2022-01-10 12:13:55,"""there's no knowing what may happen, and I wished to be prepared.""",0,67,"New Delhi, India",deepanshireads,428
2022-01-10 12:13:56,Nowadays internet 📶 plays a vital role in human life.,0,55,"Upleta, India",Adityayaaya,178
2022-01-10 12:14:00,"@KristanHawkins Support from India.

God bless America &amp; my dear loving American.

American stand for life not for Abortion.",0,3672,"New Delhi, India",avinashforjesus,100092
2022-01-10 12:14:01,"Just posted a photo @ Mumbai, Maharashtra https://t.co/k32YUeiKPh",0,611,"Mumbai, India",Safari_Plus,4236
2022-01-10 12:14:03,"@facebookapp  and @Meta !!!
Why my facebook account being restricted again and again??

https://t.co/Kh5pEdueCm",0,1236,"Himachal Pradesh, India",NarveerSinghTh1,3895
2022-01-10 12:14:07,@Madhulika_21 Jay Hanuman ❤️❤️🙏,0,4503,"Bhubaneshwar, India",SudamCharanSwa3,20493
2022-01-10 12:14:08,@imKeyaPayel Nice pic,0,2,"Dhaka, Bangladesh",shuhan1915,18
2022-01-10 12:14:09,@nikivats i feel ya bro..,0,27,"Faridabad, India",dishantsethi17,46
2022-01-10 12:14:11,@Subhoro20522885 Kindly DM,0,48,"Orissa, India",sumitbiswas69,1182
2022-01-10 12:14:12,The idiots who wrote those need to read the history again and we have to post them on the LOC for a day,0,75,"Rajendra Nagar, India",manikprabhuk,228
2022-01-10 12:14:14,Just posted a photo @ Uttam Nagar https://t.co/H3cy2nwpXm,0,103,"New Delhi, India",vickyve05132613,165
2022-01-10 12:14:15,@Iamrekhameena Right,0,133,"Rajasthan, India",kamal_dadrwal,61
2022-01-10 12:14:15,@pugazhcse08 @keerthi01_k I follow u.,0,160,"Sholinganallur, India",Govindharasuc1,7467
2022-01-10 12:14:16,"Love has many languages but ""Tu chinta mat kar mai hoon naa"" still remains the first.",0,2,"Patna, India",Suraj_xi6,45
2022-01-10 12:14:16,Texy,0,19,"Bengaluru South, India",sangadi09,1200
2022-01-10 12:14:17,Tree,0,19,Kengeri Upanagar,sangadi09,1201
2022-01-10 12:14:19,"""It is an excellent plan to have some place where we can go to be quiet, when things vex or grieve us.""",0,67,"New Delhi, India",deepanshireads,429
2022-01-10 12:14:23,@AnupamPKher Right,0,10,"Kashipur, India",GauravJ08246094,63
2022-01-10 12:14:25,Just posted a photo @ Malam Jabba Swat https://t.co/mxS0sS0KaG,0,68,"North-west Frontier, Pakistan",xhahidrajpoot64,330
2022-01-10 12:14:35,@iam_juhi @iHrithik @rallyforrivers @RakeshRoshan_N Happy birthday Hrithik sir,0,3,"Bongaigaon, India",ManojBasfore2,43
2022-01-10 12:14:36,@shobanjarahills Citizen's Police 👮,0,2006,"Hyderabad, India",PVSIVAKUMAR1,35570
2022-01-10 12:14:37,"""I wish I had no heart, it aches so.""",0,67,"New Delhi, India",deepanshireads,430
2022-01-10 12:14:43,❤️🌧🐣 with bub https://t.co/TMO5n7zjJ2,0,2,Urban Estate Phase II,Dhindsa_R1,17
2022-01-10 12:14:52,@woi1236 @IamTeemmaa Agreeee💯,0,131,"Peshawar, Pakistan",kh_laiba,353
2022-01-10 12:14:55,@RahulGandhi @jagdishthakormp Right,0,94,"Nadiad, India",SEHBAJKHANPATH1,1446
2022-01-10 12:14:56,"Good project
UID.: 270234031

@QucLongH1 
@AK222221 
@Karamje26982924",0,18,"Punjab, India",Karamje26982924,1044
2022-01-10 12:14:59,"""Be comforted, dear heart! there is always light behind the clouds.""",0,67,"New Delhi, India",deepanshireads,431
2022-01-10 12:15:09,@summer_day21 An actor who speaks the truth @Actor_Siddharth,0,16,"Hayathnagar, India",Ganeshnani276,63
2022-01-10 12:15:10,@kalgikumaru Yes. We will do.,0,160,"Sholinganallur, India",Govindharasuc1,7468
2022-01-10 12:15:14,Happy Birthday @iHrithik 🎊,0,1442,"Kota, India",ShreeRamVirat,17567
2022-01-10 12:15:14,@rajnathsingh Please chant gayatri mantra 108times daily,0,13,"Devaprayag, India",santprakash9,815
2022-01-10 12:15:14,"Speechless Memories @ Shergarh, Punjab, Pakistan https://t.co/nRbCJoRwVZ",0,1,"Punjab, Pakistan",ASIFSAAB100,21
2022-01-10 12:15:17,"""Wouldn't it be fun if all the castles in the air which we make could come true, and we could live in them?""",0,67,"New Delhi, India",deepanshireads,432
